ApplNo	DrugName	
009255	WOLFINA	
009255	WOLFINA	
009268	CHOLEDYL	
009268	CHOLEDYL	
009268	CHOLEDYL	
009268	CHOLEDYL	
009273	RAUWOLFIA SERPENTINA	
009273	RAUWOLFIA SERPENTINA	
009276	HIWOLFIA	
009276	HIWOLFIA	
009276	HIWOLFIA	
009278	KOGLUCOID	
009278	KOGLUCOID	
009282	CEDILANID-D	
009296	SERPASIL-APRESOLINE	
009296	SERPASIL-APRESOLINE	
009309	DIONOSIL AQUEOUS	
009309	DIONOSIL OILY	
009319	AMBENYL	
009321	CHOLOGRAFIN SODIUM	
009321	CHOLOGRAFIN MEGLUMINE	
009321	CHOLOGRAFIN MEGLUMINE	
009330	LANOXIN	
009330	LANOXIN PEDIATRIC	
009344	HISTALOG	
009357	RAU-SED	
009357	RAU-SED	
009357	RAU-SED	
009357	RAU-SED	
009372	ANSOLYSEN	
009376	SANDRIL	
009376	SANDRIL	
009378	CORTEF ACETATE	
009386	MYLERAN	
009388	DIAMOX	
009391	SERPANRAY	
009391	SERPANRAY	
009391	SERPANRAY	
009395	PASKALIUM	
009395	PASKALIUM	
009402	DELESTROGEN	
009402	DELESTROGEN	
009402	DELESTROGEN	
009410	LOTUSATE	
009434	SERPASIL	
009435	NESACAINE	
009435	NESACAINE	
009435	NESACAINE-MPF	
009435	NESACAINE-MPF	
009435	NESACAINE-MPF	
009435	NESACAINE-MPF	
009436	ACYLANID	
009452	MULTIFUGE	
009453	SERPATE	
009453	SERPATE	
009458	CORTISONE ACETATE	
009470	XYLOCAINE VISCOUS	
009477	RAUWOLFIA SERPENTINA	
009477	RAUWOLFIA SERPENTINA	
009486	BENADRYL PRESERVATIVE FREE	
009489	PATHILON	
009495	MAREZINE	
009509	ARAMINE	
009519	DORIDEN	
009519	DORIDEN	
009519	DORIDEN	
009561	HYPAQUE	
009561	HYPAQUE SODIUM 20%	
009561	HYPAQUE	
009585	CORT-DOME	
009585	CORT-DOME	
009627	RESERPINE	
009627	RESERPINE	
009631	HISERPIA	
009631	HISERPIA	
009637	HYDROCORTISONE ACETATE	
009637	HYDROCORTISONE ACETATE	
009645	SERPIVITE	
009659	HYDROCORTISONE	
009659	HYDROCORTISONE	
009660	NOLUDAR	
009660	NOLUDAR	
009660	NOLUDAR	
009660	NOLUDAR	
009663	RESERPINE	
009663	RESERPINE	
009667	RESERPINE	
009667	RESERPINE	
009668	RAUWOLFIA SERPENTINA	
009668	RAUWOLFIA SERPENTINA	
009698	MILTOWN	
009698	MILTOWN	
009729	PATHILON	
009750	VALMID	
009766	METICORTEN	
009766	METICORTEN	
009768	PLAQUENIL	
009789	MYLAXEN	
009796	CORTRIL	
009818	KEMADRIN	
009818	KEMADRIN	
009829	MESTINON	
009830	MESTINON	
009838	RESERPINE	
009838	RESERPINE	
009854	CORTROPHIN-ZINC	
009859	RESERPINE	
009859	RESERPINE	
009864	CORTEF	
009866	SOLU-CORTEF	
009866	SOLU-CORTEF	
009866	SOLU-CORTEF	
009866	SOLU-CORTEF	
009895	CORT-DOME	
009895	CORT-DOME	
009900	CORTEF	
009925	DYCLONE	
009925	DYCLONE	
009926	RAUSERPIN	
009926	RAUSERPIN	
009986	DELTASONE	
009986	DELTASONE	
009986	DELTASONE	
009986	DELTASONE	
009986	DELTASONE	
009987	DELTA-CORTEF	
009996	STERANE	
010010	STILPHOSTROL	
010010	STILPHOSTROL	
010012	SANDRIL	
010021	PLACIDYL	
010021	PLACIDYL	
010021	PLACIDYL	
010021	PLACIDYL	
010028	EQUANIL	
010028	EQUANIL	
010040	RENOGRAFIN-76	
010040	RENOGRAFIN-60	
010040	RENO-DIP	
010040	RENO-60	
010040	DIATRIZOATE MEGLUMINE	
010040	CYSTOGRAFIN	
010040	RENOVIST II	
010040	RENOVIST	
010040	RENO-30	
010040	CYSTOGRAFIN DILUTE	
010060	FLORINEF	
010093	BIPHETAMINE 20	
010093	BIPHETAMINE 12.5	
010093	BIPHETAMINE 7.5	
010104	MEPHYTON	
010124	SERPALAN	
010124	SERPALAN	
010151	DILANTIN	
010155	MYTELASE	
010187	RITALIN	
010187	RITALIN	
010187	RITALIN	
010209	METI-DERM	
010210	METIMYD	
010210	METIMYD	
010220	HYPAQUE-M,90%	
010220	HYPAQUE-M,75%	
010251	INVERSINE	
010255	METICORTELONE	
010347	DELALUTIN	
010347	DELALUTIN	
010348	SPARINE	
010348	SPARINE	
010348	SPARINE	
010348	SPARINE	
010348	SPARINE	
010349	SPARINE	
010349	SPARINE	
010355	QUARZAN	
010355	QUARZAN	
010374	MEDIHALER-EPI	
010375	MEDIHALER-ISO	
010375	ISOPROTERENOL HYDROCHLORIDE	
010379	CYTOMEL	
010379	CYTOMEL	
010379	CYTOMEL	
010392	ATARAX	
010392	ATARAX	
010392	ATARAX	
010392	ATARAX	
010401	MYSOLINE	
010402	PREMARIN	
010417	XYLOCAINE 4% PRESERVATIVE FREE	
010417	XYLOCAINE 4% PRESERVATIVE FREE	
010418	XYLOCAINE	
010418	XYLOCAINE W/ EPINEPHRINE	
010418	XYLOCAINE	
010418	XYLOCAINE W/ EPINEPHRINE	
010418	XYLOCAINE	
010418	XYLOCAINE W/ EPINEPHRINE	
010423	LORFAN	
010441	RESERPINE	
010441	RESERPINE	
010441	RESERPINE	
010441	RESERPINE	
010460	PRELUDIN	
010485	ATARAX	
010496	XYLOCAINE 5% W/ GLUCOSE 7.5%	
010515	ISUPREL	
010520	LERITINE	
010533	PBZ-SR	
010533	PBZ-SR	
010554	MAGNACORT	
010562	HYDELTRA-TBA	
010571	COMPAZINE	
010571	COMPAZINE	
010571	COMPAZINE	
010581	HYSERPIN	
010585	LERITINE	
010596	CELONTIN	
010596	CELONTIN	
010598	BENDECTIN	
010599	TRAL	
010611	HALOTESTIN	
010611	HALOTESTIN	
010611	HALOTESTIN	
010653	DISIPAL	
010656	FLOROPRYL	
010669	LEUKERAN	
010670	ORINASE	
010670	ORINASE	
010679	CANTIL	
010679	CANTIL	
010686	MODERIL	
010686	MODERIL	
010718	KWELL	
010721	ANTIVERT	
010721	ANTIVERT	
010721	ANTIVERT	
010721	ANTIVERT	
010742	COMPAZINE	
010744	DARBID	
010753	ESTRADURIN	
010775	TRILAFON	
010775	TRILAFON	
010775	TRILAFON	
010775	TRILAFON	
010787	IRON DEXTRAN	
010791	RUBIVITE	
010791	RUBIVITE	
010791	RUBIVITE	
010791	RUBIVITE	
010791	RUBIVITE	
010796	HARMONYL	
010796	HARMONYL	
010799	DIMETANE	
010799	DIMETANE	
010799	DIMETANE	
010831	CORTICOTROPIN	
010831	CORTICOTROPIN	
010841	PEGANONE	
010841	PEGANONE	
010895	NORLUTIN	
010909	MIRADON	
010911	BUCLADIN-S	
010926	PHENERGAN	
010926	PHENERGAN	
010927	PHOSPHOTOPE	
010929	IODOTOPE	
010929	IODOTOPE	
010929	IODOTOPE	
010942	SPARINE	
010942	SPARINE	
010942	SPARINE	
010962	PARACORT	
010971	PMB 400	
010971	PMB 200	
010976	ENOVID	
010976	ENOVID	
010976	ENOVID-E	
010976	ENOVID-E 21	
010976	ENOVID	
010996	DARVON W/ ASA	
010996	DARVON COMPOUND	
010996	DARVON COMPOUND-65	
010997	DARVON	
010997	DARVON	
011000	COMPAZINE	
011000	COMPAZINE	
011000	COMPAZINE	
011000	COMPAZINE	
011011	ROBAXIN	
011011	ROBAXIN-750	
011028	HYDELTRASOL	
011045	MILPREM-400	
011045	MILPREM-200	
011047	CARDRASE	
011047	CARDRASE	
011073	WAMPOCAP	
011110	ACTIDIL	
011111	VISTARIL	
011111	VISTARIL	
011120	THORAZINE	
011120	THORAZINE	
011120	THORAZINE	
011120	THORAZINE	
011120	THORAZINE	
011123	VESPRIN	
011123	VESPRIN	
011123	VESPRIN	
011127	COMPAZINE	
011127	COMPAZINE	
011127	COMPAZINE	
011145	DIURIL	
011145	DIURIL	
011145	DIURIL	
011153	MEDROL	
011153	MEDROL	
011153	MEDROL	
011153	MEDROL	
011153	MEDROL	
011153	MEDROL	
011161	ARISTOCORT	
011161	ARISTOCORT	
011161	ARISTOCORT	
011161	ARISTOCORT	
011161	ARISTOCORT	
011178	ISUPREL	
011185	RESERPINE	
011185	RESERPINE	
011188	COMPAZINE	
011208	DEPINAR	
011210	TESSALON	
011210	TESSALON	
011213	TRILAFON	
011228	LIQUAMAR	
011245	GASTROGRAFIN	
011265	PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE	
011270	FUROXONE	
011276	COMPAZINE	
011283	KENACORT	
011283	KENACORT	
011283	KENACORT	
011283	KENACORT	
011284	MEPROSPAN	
011284	MEPROSPAN	
011287	KAYEXALATE	
011294	TRILAFON	
011300	PARAFLEX	
011316	TEMARIL	
011316	TEMARIL	
011316	TEMARIL	
011323	FUROXONE	
011324	SINOGRAFIN	
011325	VESPRIN	
011325	VESPRIN	
011325	VESPRIN	
011338	FLUOTHANE	
011340	CERUMENEX	
011359	ORA-TESTRYL	
011359	ORA-TESTRYL	
011361	TRILAFON	
011366	DARANIDE	
011366	KEVEYIS	
011386	HYPAQUE	
011386	HYPAQUE	
011418	DIMETANE-TEN	
011444	TACE	
011446	STERANE	
011459	VISTARIL	
011459	VISTARIL	
011459	VISTARIL	
011467	TRANCOPAL	
011467	TRANCOPAL	
011483	SYNALGOS-DC	
011491	VESPRIN	
011496	ACTIDIL	
011521	RAUWOLFIA SERPENTINA	
011521	RAUWOLFIA SERPENTINA	
011522	ADDERALL 10	
011522	ADDERALL 20	
011522	ADDERALL 5	
011522	ADDERALL 30	
011522	ADDERALL 7.5	
011522	ADDERALL 12.5	
011522	ADDERALL 15	
011525	IC-GREEN	
011525	IC-GREEN	
011525	IC-GREEN	
011525	IC-GREEN	
011529	PARAFON FORTE DSC	
011552	STELAZINE	
011552	STELAZINE	
011552	STELAZINE	
011552	STELAZINE	
011552	STELAZINE	
011552	STELAZINE	
011556	ANTURANE	
011556	ANTURANE	
011557	TRILAFON	
011559	BREVITAL SODIUM	
011559	BREVITAL SODIUM	
011559	BREVITAL SODIUM	
011559	BREVITAL SODIUM	
011583	HYDELTRASOL	
011600	KENALOG	
011600	KENALOG	
011601	TRIAMCINOLONE ACETONIDE	
011601	TRIAMCINOLONE ACETONIDE	
011602	KENALOG	
011602	KENALOG	
011612	DARICON	
011613	IONAMIN	
011613	IONAMIN	
011620	CARDIOGRAFIN	
011635	DIUPRES-250	
011635	DIUPRES-500	
011641	DIABINESE	
011641	DIABINESE	
011642	CARDIOQUIN	
011657	BETAPRONE	
011664	DECADRON	
011664	DECADRON	
011664	DECADRON	
011664	DECADRON	
011664	DECADRON	
011664	DECADRON	
011665	MESTINON	
011673	TEPANIL	
011679	PENTOTHAL	
011683	THIOTEPA	
011685	ARISTOCORT	
011689	PHENERGAN	
011695	PHENY-PAS-TEBAMIN	
011695	PHENY-PAS-TEBAMIN	
011702	EQUAGESIC	
011707	OPANA	
011707	OPANA	
011719	METHOTREXATE SODIUM	
011719	METHOTREXATE SODIUM	
011719	METHOTREXATE SODIUM	
011719	METHOTREXATE SODIUM	
011719	METHOTREXATE SODIUM	
011719	METHOTREXATE LPF	
011719	METHOTREXATE SODIUM PRESERVATIVE FREE	
011719	METHOTREXATE SODIUM	
011719	METHOTREXATE PRESERVATIVE FREE	
011719	METHOTREXATE SODIUM PRESERVATIVE FREE	
011719	METHOTREXATE PRESERVATIVE FREE	
011719	METHOTREXATE PRESERVATIVE FREE	
011721	NEPTAZANE	
011721	NEPTAZANE	
011722	TENUATE	
011730	MEPERGAN	
011738	NUMORPHAN	
011745	KONAKION	
011745	KONAKION	
011748	OXYLONE	
011751	PROLIXIN	
011751	PROLIXIN	
011751	PROLIXIN	
011751	PROLIXIN	
011751	PROLIXIN	
011752	PRELUDIN	
011752	PRELUDIN	
011757	DEPO-MEDROL	
011757	DEPO-MEDROL	
011757	DEPO-MEDROL	
011771	ATHROMBIN	
011771	ATHROMBIN	
011771	ATHROMBIN	
011771	ATHROMBIN-K	
011771	ATHROMBIN-K	
011771	ATHROMBIN-K	
011771	ATHROMBIN-K	
011777	SODIUM PHOSPHATE P 32	
011777	SODIUM PHOSPHATE P 32	
011790	ROBAXIN	
011792	SOMA	
011792	SOMA	
011792	SOMA	
011793	ESIDRIX	
011793	ESIDRIX	
011793	ESIDRIX	
011795	VISTARIL	
011808	MELLARIL	
011808	MELLARIL	
011808	MELLARIL	
011808	MELLARIL	
011808	MELLARIL	
011808	MELLARIL	
011808	MELLARIL	
011808	MELLARIL	
011808	MELLARIL	
011814	DISOMER	
011814	DISOMER	
011835	HYDRODIURIL	
011835	HYDRODIURIL	
011835	HYDRODIURIL	
011836	PRESAMINE	
011836	PRESAMINE	
011836	PRESAMINE	
011837	ALPHA CHYMAR	
011838	TOFRANIL	
011839	PROVERA	
011839	PROVERA	
011839	PROVERA	
011856	SOLU-MEDROL	
011856	SOLU-MEDROL	
011856	SOLU-MEDROL	
011856	SOLU-MEDROL	
011856	SOLU-MEDROL	
011860	HUMORSOL	
011860	HUMORSOL	
011870	DIURIL	
011878	SERPASIL-ESIDRIX #1	
011878	SERPASIL-ESIDRIX #2	
011891	DURABOLIN	
011891	DURABOLIN	
011903	ZOLYSE	
011909	NARDIL	
011914	VIRAC REX	
011945	HISPRIL	
011949	SALURON	
011950	TACARYL	
011950	TACARYL	
011950	TACARYL	
011958	HYDROPRES 25	
011958	HYDROPRES 50	
011960	ARISTOCORT	
011961	MARPLAN	
011963	PHOSPHOLINE IODIDE	
011963	PHOSPHOLINE IODIDE	
011963	PHOSPHOLINE IODIDE	
011963	PHOSPHOLINE IODIDE	
011964	POVAN	
011971	ORETIC	
011971	ORETIC	
011977	DECADRON	
011983	DECADRON	
011984	DECADRON	
012003	AKINETON	
012015	COGENTIN	
012026	APRESOLINE-ESIDRIX	
